Protein,Cluster
GCF_000675295_1_Myco_tube_TB_RSA99_V1_genomic',cluster5
GCF_000675315_1_Myco_tube_TB_RSA100_V1_genomic',cluster7
GCF_000675335_1_Myco_tube_TB_RSA101_V1_genomic',cluster7
GCF_000675355_1_Myco_tube_TB_RSA102_V1_genomic',cluster5
GCF_000675375_1_Myco_tube_TB_RSA103_V1_genomic',cluster5
GCF_000675395_1_Myco_tube_TB_RSA104_V1_genomic',cluster7
GCF_000675415_1_Myco_tube_TB_RSA105_V1_genomic',cluster7
GCF_000675435_1_Myco_tube_TB_RSA106_V1_genomic',cluster5
GCF_000675455_1_Myco_tube_TB_RSA107_V1_genomic',cluster5
GCF_000675475_1_Myco_tube_TB_RSA108_V1_genomic',cluster1
GCF_000675495_1_Myco_tube_TB_RSA109_V1_genomic',cluster1
GCF_000675515_1_Myco_tube_TB_RSA110_V1_genomic',cluster5
GCF_000675535_1_Myco_tube_TB_RSA111_V1_genomic',cluster5
GCF_000675555_1_Myco_tube_TB_RSA113_V1_genomic',cluster5
GCF_000675575_1_Myco_tube_TB_RSA114_V1_genomic',cluster5
GCF_000675595_1_Myco_tube_TB_RSA117_V1_genomic',cluster4
GCF_000675615_1_Myco_tube_TB_RSA118_V1_genomic',cluster4
GCF_000675635_1_Myco_tube_TB_RSA119_V1_genomic',cluster4
GCF_000675655_1_Myco_tube_TB_RSA120_V1_genomic',cluster4
GCF_000675675_1_Myco_tube_TB_RSA121_V1_genomic',cluster5
GCF_000675695_1_Myco_tube_TB_RSA122_V1_genomic',cluster5
GCF_000675715_1_Myco_tube_TB_RSA123_V1_genomic',cluster5
GCF_000675735_1_Myco_tube_TB_RSA124_V1_genomic',cluster5
GCF_000675755_1_Myco_tube_TB_RSA125_V1_genomic',cluster5
GCF_000675775_1_Myco_tube_TB_RSA126_V1_genomic',cluster1
GCF_000675795_1_Myco_tube_TB_RSA127_V1_genomic',cluster1
GCF_000675815_1_Myco_tube_TB_RSA128_V1_genomic',cluster1
GCF_000675835_1_Myco_tube_TB_RSA129_V1_genomic',cluster1
GCF_000675855_1_Myco_tube_TB_RSA130_V1_genomic',cluster1
GCF_000675875_1_Myco_tube_TB_RSA131_V1_genomic',cluster1
GCF_000675895_1_Myco_tube_TB_RSA132_V1_genomic',cluster1
GCF_000675915_1_Myco_tube_TB_RSA133_V1_genomic',cluster7
GCF_000675935_1_Myco_tube_TB_RSA134_V1_genomic',cluster7
GCF_000675955_1_Myco_tube_TB_RSA135_V1_genomic',cluster7
GCF_000675975_1_Myco_tube_TB_RSA136_V1_genomic',cluster7
GCF_000675995_1_Myco_tube_TB_RSA137_V1_genomic',cluster5
GCF_000676015_1_Myco_tube_TB_RSA138_V1_genomic',cluster5
GCF_000676035_1_Myco_tube_TB_RSA139_V1_genomic',cluster5
GCF_000676055_1_Myco_tube_TB_RSA140_V1_genomic',cluster5
GCF_000676075_1_Myco_tube_TB_RSA141_V1_genomic',cluster5
GCF_000676095_1_Myco_tube_TB_RSA142_V1_genomic',cluster1
GCF_000676115_1_Myco_tube_TB_RSA143_V1_genomic',cluster5
GCF_000676135_1_Myco_tube_TB_RSA144_V1_genomic',cluster5
GCF_000676155_1_Myco_tube_TB_RSA145_V1_genomic',cluster5
GCF_000676175_1_Myco_tube_TB_RSA146_V1_genomic',cluster5
GCF_000676195_1_Myco_tube_TB_RSA147_V1_genomic',cluster5
GCF_000676215_1_Myco_tube_TB_RSA148_V1_genomic',cluster5
GCF_000676235_1_Myco_tube_TB_RSA149_V1_genomic',cluster5
GCF_000676255_1_Myco_tube_TB_RSA150_V1_genomic',cluster5
GCF_000676275_1_Myco_tube_TB_RSA151_V1_genomic',cluster5
GCF_000676295_1_Myco_tube_TB_RSA152_V1_genomic',cluster5
GCF_000676315_1_Myco_tube_TB_RSA153_V1_genomic',cluster5
GCF_000676335_1_Myco_tube_TB_RSA154_V1_genomic',cluster5
GCF_000676355_1_Myco_tube_TB_RSA155_V1_genomic',cluster5
GCF_000676375_1_Myco_tube_TB_RSA156_V1_genomic',cluster5
GCF_000676395_1_Myco_tube_TB_RSA157_V1_genomic',cluster5
GCF_000676415_1_Myco_tube_TB_RSA158_V1_genomic',cluster5
GCF_000676435_1_Myco_tube_TB_RSA159_V1_genomic',cluster5
GCF_000676455_1_Myco_tube_TB_RSA160_V1_genomic',cluster5
GCF_000676475_1_Myco_tube_TB_RSA161_V1_genomic',cluster7
GCF_000676495_1_Myco_tube_TB_RSA162_V1_genomic',cluster7
GCF_000676515_1_Myco_tube_TB_RSA163_V1_genomic',cluster1
GCF_000676535_1_Myco_tube_TB_RSA164_V1_genomic',cluster1
GCF_000676555_1_Myco_tube_TB_RSA165_V1_genomic',cluster4
GCF_000676575_1_Myco_tube_TB_RSA166_V1_genomic',cluster4
GCF_000676595_1_Myco_tube_TB_RSA167_V1_genomic',cluster5
GCF_000676615_1_Myco_tube_TB_RSA168_V1_genomic',cluster5
GCF_000676635_1_Myco_tube_TB_RSA169_V1_genomic',cluster7
GCF_000676655_1_Myco_tube_TB_RSA170_V1_genomic',cluster7
GCF_000676675_1_Myco_tube_TB_RSA171_V1_genomic',cluster5
GCF_000676695_1_Myco_tube_TB_RSA172_V1_genomic',cluster5
GCF_000676715_1_Myco_tube_TB_RSA173_V1_genomic',cluster4
GCF_000676735_1_Myco_tube_TB_RSA174_V1_genomic',cluster4
GCF_000676755_1_Myco_tube_TB_RSA175_V1_genomic',cluster4
GCF_000676775_1_Myco_tube_TB_RSA176_V1_genomic',cluster4
GCF_000676795_1_Myco_tube_TB_RSA177_V1_genomic',cluster4
GCF_000676815_1_Myco_tube_TB_RSA178_V1_genomic',cluster4
GCF_000676835_1_Myco_tube_TB_RSA179_V1_genomic',cluster1
GCF_000676855_1_Myco_tube_TB_RSA180_V1_genomic',cluster1
GCF_000676875_1_Myco_tube_TB_RSA181_V1_genomic',cluster5
GCF_000676895_1_Myco_tube_TB_RSA182_V1_genomic',cluster5
GCF_000676915_1_Myco_tube_TB_RSA184_V1_genomic',cluster5
GCF_000676935_1_Myco_tube_TB_RSA189_V1_genomic',cluster4
GCF_000676955_1_Myco_tube_TB_RSA190_V1_genomic',cluster5
GCF_000676975_1_Myco_tube_TB_RSA191_V1_genomic',cluster5
GCF_000676995_1_Myco_tube_TB_RSA192_V1_genomic',cluster4
GCF_000677015_1_Myco_tube_TB_RSA193_V1_genomic',cluster4
GCF_000677035_1_Myco_tube_TB_RSA194_V1_genomic',cluster4
GCF_000677055_1_Myco_tube_TB_RSA195_V1_genomic',cluster5
GCF_000677075_1_Myco_tube_TB_RSA196_V1_genomic',cluster4
GCF_000677095_1_Myco_tube_TB_RSA197_V1_genomic',cluster4
GCF_000677115_1_Myco_tube_TB_RSA199_V1_genomic',cluster5
GCF_000677135_1_Myco_tube_TB_RSA200_V1_genomic',cluster5
GCF_000677155_1_Myco_tube_BTB03-012_V1_genomic',cluster5
GCF_000677175_1_Myco_tube_BTB03-108_V1_genomic',cluster5
GCF_000677195_1_Myco_tube_BTB05-481_V1_genomic',cluster5
GCF_000677215_1_Myco_tube_BTB03-168_V1_genomic',cluster5
GCF_000677235_1_Myco_tube_BTB03-169_V1_genomic',cluster9
GCF_000677255_1_Myco_tube_BTB04-001_V1_genomic',cluster2
GCF_000677275_1_Myco_tube_BTB04-011_V1_genomic',cluster6
GCF_000677295_1_Myco_tube_BTB04-097_V1_genomic',cluster1
GCF_000677315_1_Myco_tube_BTB03-142_V1_genomic',cluster4
GCF_000677335_1_Myco_tube_BTB04-128_V1_genomic',cluster5
GCF_000677355_1_Myco_tube_BTB04-158_V1_genomic',cluster4
GCF_000677375_1_Myco_tube_BTB04-172_V1_genomic',cluster5
GCF_000677395_1_Myco_tube_BTB04-388_V1_genomic',cluster5
GCF_000677415_1_Myco_tube_BTB04-416_V1_genomic',cluster4
GCF_000677435_1_Myco_tube_BTB04-452_V1_genomic',cluster6
GCF_000677455_1_Myco_tube_BTB05-001_V1_genomic',cluster5
GCF_000677475_1_Myco_tube_BTB05-013_V1_genomic',cluster5
GCF_000677495_1_Myco_tube_BTB05-285_V1_genomic',cluster5
GCF_000677515_1_Myco_tube_BTB05-348_V1_genomic',cluster5
GCF_000677535_1_Myco_tube_BTB05-371_V1_genomic',cluster5
GCF_000677555_1_Myco_tube_BTB03-143_V1_genomic',cluster4
GCF_000677575_1_Myco_tube_BTB05-650_V1_genomic',cluster4
GCF_000677595_1_Myco_tube_BTB05-660_V1_genomic',cluster5
GCF_000677615_1_Myco_tube_BTB06-001_V1_genomic',cluster1
GCF_000677635_1_Myco_tube_BTB06-340_V1_genomic',cluster4
GCF_000677655_1_Myco_tube_BTB06-467_V1_genomic',cluster5
GCF_000677675_1_Myco_tube_BTB06-494_V1_genomic',cluster5
GCF_000677695_1_Myco_tube_BTB07-001_V1_genomic',cluster5
GCF_000677715_1_Myco_tube_BTB07-034_V1_genomic',cluster5
GCF_000677735_1_Myco_tube_BTB07-070_V1_genomic',cluster5
GCF_000677755_1_Myco_tube_BTB07-123_V1_genomic',cluster5
GCF_000677775_1_Myco_tube_BTB07-126_V1_genomic',cluster5
GCF_000677795_1_Myco_tube_BTB03-144_V1_genomic',cluster5
GCF_000677815_1_Myco_tube_BTB07-170_V1_genomic',cluster4
GCF_000677835_1_Myco_tube_BTB07-206_V1_genomic',cluster5
GCF_000677855_1_Myco_tube_BTB07-243_V1_genomic',cluster5
GCF_000677875_1_Myco_tube_BTB07-246_V1_genomic',cluster5
GCF_000677895_1_Myco_tube_BTB07-254_V1_genomic',cluster5
GCF_000677915_1_Myco_tube_BTB07-261_V1_genomic',cluster5
GCF_000677935_1_Myco_tube_BTB07-275_V1_genomic',cluster1
GCF_000677955_1_Myco_tube_BTB07-283_V1_genomic',cluster5
GCF_000677975_1_Myco_tube_BTB07-299_V1_genomic',cluster5
GCF_000677995_1_Myco_tube_BTB07-300_V1_genomic',cluster5
GCF_000678015_1_Myco_tube_BTB07-323_V1_genomic',cluster4
GCF_000678035_1_Myco_tube_BTB07-324_V1_genomic',cluster4
GCF_000678055_1_Myco_tube_BTB07-325_V1_genomic',cluster5
GCF_000678075_1_Myco_tube_BTB07-354_V1_genomic',cluster5
GCF_000678095_1_Myco_tube_BTB08-001_V1_genomic',cluster5
GCF_000678115_1_Myco_tube_BTB08-014_V1_genomic',cluster5
GCF_000678135_1_Myco_tube_BTB08-022_V1_genomic',cluster5
GCF_000678155_1_Myco_tube_BTB08-043_V1_genomic',cluster5
GCF_000678175_1_Myco_tube_BTB08-072_V1_genomic',cluster5
GCF_000678195_1_Myco_tube_BTB08-093_V1_genomic',cluster4
GCF_000678215_1_Myco_tube_BTB08-148_V1_genomic',cluster9
GCF_000678235_1_Myco_tube_BTB08-183_V1_genomic',cluster4
GCF_000678255_1_Myco_tube_BTB08-221_V1_genomic',cluster4
GCF_000678275_1_Myco_tube_BTB08-283_V1_genomic',cluster1
GCF_000678295_1_Myco_tube_BTB08-288_V1_genomic',cluster1
GCF_000678315_1_Myco_tube_BTB08-309_V1_genomic',cluster1
GCF_000678335_1_Myco_tube_BTB08-356_V1_genomic',cluster9
GCF_000678355_1_Myco_tube_BTB08-362_V1_genomic',cluster5
GCF_000678375_1_Myco_tube_BTB08-394_V1_genomic',cluster5
GCF_000678395_1_Myco_tube_BTB09-001_V1_genomic',cluster9
GCF_000678415_1_Myco_tube_BTB09-036_V1_genomic',cluster5
GCF_000678435_1_Myco_tube_BTB09-058_V1_genomic',cluster4
GCF_000678455_1_Myco_tube_BTB09-085_V1_genomic',cluster4
GCF_000678475_1_Myco_tube_BTB09-086_V1_genomic',cluster6
GCF_000678495_1_Myco_tube_BTB09-091_V1_genomic',cluster4
GCF_000678515_1_Myco_tube_BTB09-151_V1_genomic',cluster5
GCF_000678535_1_Myco_tube_BTB09-157_V1_genomic',cluster4
GCF_000678555_1_Myco_tube_BTB09-184_V1_genomic',cluster4
GCF_000678575_1_Myco_tube_BTB09-230_V1_genomic',cluster9
GCF_000678595_1_Myco_tube_BTB09-382_V1_genomic',cluster5
GCF_000678615_1_Myco_tube_BTB09-453_V1_genomic',cluster5
GCF_000678635_1_Myco_tube_BTB09-485_V1_genomic',cluster4
GCF_000678655_1_Myco_tube_BTB09-553_V1_genomic',cluster5
GCF_000678675_1_Myco_tube_BTB09-554_V1_genomic',cluster5
GCF_000678695_1_Myco_tube_BTB10-001_V1_genomic',cluster5
GCF_000678715_1_Myco_tube_BTB10-005_V1_genomic',cluster5
GCF_000678735_1_Myco_tube_BTB10-097_V1_genomic',cluster4
GCF_000678755_1_Myco_tube_BTB10-120_V1_genomic',cluster9
GCF_000678775_1_Myco_tube_BTB10-142_V1_genomic',cluster5
GCF_000678795_1_Myco_tube_BTB10-257_V1_genomic',cluster4
GCF_000678815_1_Myco_tube_BTB10-277_V1_genomic',cluster5
GCF_000678835_1_Myco_tube_BTB10-295_V1_genomic',cluster7
GCF_000678855_1_Myco_tube_BTB10-357_V1_genomic',cluster4
GCF_000678875_1_Myco_tube_BTB10-367_V1_genomic',cluster5
GCF_000678895_1_Myco_tube_BTB10-406_V1_genomic',cluster5
GCF_000678915_1_Myco_tube_BTB10-422_V1_genomic',cluster5
GCF_000678935_1_Myco_tube_BTB10-426_V1_genomic',cluster5
GCF_000678955_1_Myco_tube_BTB10-472_V1_genomic',cluster4
GCF_000678975_1_Myco_tube_BTB10-487_V1_genomic',cluster5
GCF_000678995_1_Myco_tube_BTB11-001_V1_genomic',cluster5
GCF_000679015_1_Myco_tube_BTB11-027_V1_genomic',cluster4
GCF_000679035_1_Myco_tube_BTB11-047_V1_genomic',cluster5
GCF_000679055_1_Myco_tube_BTB11-112_V1_genomic',cluster1
GCF_000679075_1_Myco_tube_BTB11-133_V1_genomic',cluster5
GCF_000679095_1_Myco_tube_BTB11-139_V1_genomic',cluster4
GCF_000679115_1_Myco_tube_BTB11-160_V1_genomic',cluster9
GCF_000679135_1_Myco_tube_BTB11-192_V1_genomic',cluster5
GCF_000679155_1_Myco_tube_BTB11-195_V1_genomic',cluster5
GCF_000679175_1_Myco_tube_BTB11-207_V1_genomic',cluster9
GCF_000679195_1_Myco_tube_BTB11-210_V1_genomic',cluster9
GCF_000679215_1_Myco_tube_BTB11-214_V1_genomic',cluster5
GCF_000679235_1_Myco_tube_BTB11-236_V1_genomic',cluster5
GCF_000679255_1_Myco_tube_BTB11-250_V1_genomic',cluster5
GCF_000679275_1_Myco_tube_BTB11-289_V1_genomic',cluster4
GCF_000679295_1_Myco_tube_BTB11-299_V1_genomic',cluster4
GCF_000679315_1_Myco_tube_BTB11-300_V1_genomic',cluster4
GCF_000679335_1_Myco_tube_BTB11-343_V1_genomic',cluster5
GCF_000679355_1_Myco_tube_BTB11-371_V1_genomic',cluster4
GCF_000679375_1_Myco_tube_BTB12-001_V1_genomic',cluster4
GCF_000679395_1_Myco_tube_BTB12-002_V1_genomic',cluster4
GCF_000679415_1_Myco_tube_BTB12-046_V1_genomic',cluster5
GCF_000679435_1_Myco_tube_BTB12-054_V1_genomic',cluster5
GCF_000679455_1_Myco_tube_BTB12-094_V1_genomic',cluster4
GCF_000679475_1_Myco_tube_BTB12-162_V1_genomic',cluster5
GCF_000679495_1_Myco_tube_BTB12-206_V1_genomic',cluster5
GCF_000679515_1_Myco_tube_BTB12-211_V1_genomic',cluster4
GCF_000679535_1_Myco_tube_BTB12-294_V1_genomic',cluster5
GCF_000679555_1_Myco_tube_BTB12-304_V1_genomic',cluster5
GCF_000679575_1_Myco_tube_BTB12-305_V1_genomic',cluster4
GCF_000679595_1_Myco_tube_BTB12-313_V1_genomic',cluster5
GCF_000679615_1_Myco_tube_BTB12-314_V1_genomic',cluster4
GCF_000679635_1_Myco_tube_BTB12-315_V1_genomic',cluster1
GCF_000679655_1_Myco_tube_BTB12-384_V1_genomic',cluster4
GCF_000679675_1_Myco_tube_BTB12-400_V1_genomic',cluster5
GCF_000679695_1_Myco_tube_BTB12-449_V1_genomic',cluster4
GCF_000679715_1_Myco_tube_BTB13-063_V1_genomic',cluster4
GCF_000679735_1_Myco_tube_BTB13-089_V1_genomic',cluster4
GCF_000679755_1_Myco_tube_BTB13-127_V1_genomic',cluster3
GCF_000679775_1_Myco_tube_BTB13-128_V1_genomic',cluster4
GCF_000679795_1_Myco_tube_BTB13-156_V1_genomic',cluster5
GCF_000679815_1_Myco_tube_BTB13-206_V1_genomic',cluster1
GCF_000679835_1_Myco_tube_BTB13-222_V1_genomic',cluster1
GCF_000679855_1_Myco_tube_BTB13-276_V1_genomic',cluster4
GCF_000679875_1_Myco_tube_XTB13-081_V1_genomic',cluster4
GCF_000679895_1_Myco_tube_XTB13-082_V1_genomic',cluster4
GCF_000679915_1_Myco_tube_XTB13-083_V1_genomic',cluster4
GCF_000679935_1_Myco_tube_XTB13-084_V1_genomic',cluster4
GCF_000679955_1_Myco_tube_XTB13-086_V1_genomic',cluster5
GCF_000679975_1_Myco_tube_XTB13-088_V1_genomic',cluster4
GCF_000679995_1_Myco_tube_XTB13-089_V1_genomic',cluster5
GCF_000680015_1_Myco_tube_XTB13-091_V1_genomic',cluster4
GCF_000680035_1_Myco_tube_XTB13-092_V1_genomic',cluster4
GCF_000680055_1_Myco_tube_XTB13-093_V1_genomic',cluster6
GCF_000680075_1_Myco_tube_XTB13-094_V1_genomic',cluster4
GCF_000680095_1_Myco_tube_XTB13-095_V1_genomic',cluster4
GCF_000680115_1_Myco_tube_XTB13-096_V1_genomic',cluster5
GCF_000680135_1_Myco_tube_XTB13-097_V1_genomic',cluster4
GCF_000680155_1_Myco_tube_XTB13-098_V1_genomic',cluster4
GCF_000680175_1_Myco_tube_XTB13-100_V1_genomic',cluster1
GCF_000680195_1_Myco_tube_XTB13-102_V1_genomic',cluster4
GCF_000680215_1_Myco_tube_XTB13-103_V1_genomic',cluster1
GCF_000680235_1_Myco_tube_XTB13-104_V1_genomic',cluster5
GCF_000680255_1_Myco_tube_XTB13-105_V1_genomic',cluster4
GCF_000680275_1_Myco_tube_XTB13-107_V1_genomic',cluster1
GCF_000680295_1_Myco_tube_XTB13-108_V1_genomic',cluster4
GCF_000680315_1_Myco_tube_XTB13-111_V1_genomic',cluster6
GCF_000680335_1_Myco_tube_XTB13-112_V1_genomic',cluster4
GCF_000680355_1_Myco_tube_XTB13-113_V1_genomic',cluster4
GCF_000680375_1_Myco_tube_XTB13-114_V1_genomic',cluster4
GCF_000680395_1_Myco_tube_XTB13-115_V1_genomic',cluster1
GCF_000680415_1_Myco_tube_XTB13-116_V1_genomic',cluster4
GCF_000680435_1_Myco_tube_XTB13-117_V1_genomic',cluster4
GCF_000680455_1_Myco_tube_XTB13-119_V1_genomic',cluster5
GCF_000680475_1_Myco_tube_XTB13-120_V1_genomic',cluster4
GCF_000680495_1_Myco_tube_XTB13-121_V1_genomic',cluster5
GCF_000680515_1_Myco_tube_XTB13-122_V1_genomic',cluster4
GCF_000680535_1_Myco_tube_XTB13-124_V1_genomic',cluster4
GCF_000680555_1_Myco_tube_XTB13-125_V1_genomic',cluster1
GCF_000680575_1_Myco_tube_XTB13-126_V1_genomic',cluster4
GCF_000680595_1_Myco_tube_XTB13-127_V1_genomic',cluster4
GCF_000680615_1_Myco_tube_XTB13-128_V1_genomic',cluster5
GCF_000680635_1_Myco_tube_XTB13-131_V1_genomic',cluster4
GCF_000680655_1_Myco_tube_XTB13-132_V1_genomic',cluster1
GCF_000680675_1_Myco_tube_XTB13-133_V1_genomic',cluster4
GCF_000680695_1_Myco_tube_XTB13-134_V1_genomic',cluster4
GCF_000680715_1_Myco_tube_XTB13-135_V1_genomic',cluster5
GCF_000680735_1_Myco_tube_XTB13-136_V1_genomic',cluster4
GCF_000680755_1_Myco_tube_XTB13-137_V1_genomic',cluster4
GCF_000680775_1_Myco_tube_XTB13-138_V1_genomic',cluster4
GCF_000680795_1_Myco_tube_XTB13-140_V1_genomic',cluster4
GCF_000680815_1_Myco_tube_XTB13-141_V1_genomic',cluster4
GCF_000680835_1_Myco_tube_XTB13-143_V1_genomic',cluster4
GCF_000680855_1_Myco_tube_XTB13-144_V1_genomic',cluster1
GCF_000680875_1_Myco_tube_XTB13-145_V1_genomic',cluster4
GCF_000680895_1_Myco_tube_XTB13-146_V1_genomic',cluster4
GCF_000680915_1_Myco_tube_XTB13-147_V1_genomic',cluster4
GCF_000680935_1_Myco_tube_XTB13-150_V1_genomic',cluster4
GCF_000680955_1_Myco_tube_XTB13-152_V1_genomic',cluster5
GCF_000680975_1_Myco_tube_XTB13-153_V1_genomic',cluster4
GCF_000680995_1_Myco_tube_XTB13-154_V1_genomic',cluster4
GCF_000681015_1_Myco_tube_XTB13-155_V1_genomic',cluster4
GCF_000681035_1_Myco_tube_XTB13-156_V1_genomic',cluster4
GCF_000681055_1_Myco_tube_XTB13-158_V1_genomic',cluster5
GCF_000681075_1_Myco_tube_XTB13-159_V1_genomic',cluster1
GCF_000681095_1_Myco_tube_XTB13-161_V1_genomic',cluster5
GCF_000681115_1_Myco_tube_XTB13-162_V1_genomic',cluster4
GCF_000681135_1_Myco_tube_XTB13-165_V1_genomic',cluster4
GCF_000681155_1_Myco_tube_XTB13-167_V1_genomic',cluster5
GCF_000681175_1_Myco_tube_XTB13-168_V1_genomic',cluster4
GCF_000681195_1_Myco_tube_XTB13-169_V1_genomic',cluster5
GCF_000681215_1_Myco_tube_XTB13-172_V1_genomic',cluster4
GCF_000681235_1_Myco_tube_XTB13-175_V1_genomic',cluster4
GCF_000681255_1_Myco_tube_XTB13-176_V1_genomic',cluster4
GCF_000681275_1_Myco_tube_XTB13-177_V1_genomic',cluster4
GCF_000681295_1_Myco_tube_XTB13-178_V1_genomic',cluster5
GCF_000681315_1_Myco_tube_XTB13-179_V1_genomic',cluster4
GCF_000681335_1_Myco_tube_OFXR-9_V1_genomic',cluster4
GCF_000685425_1_TbC21,cluster1
GCF_000689535_1_NZXDR1_genomic',cluster5
GCF_000695365_1_Denovo_Genome_Assembly_genomic',cluster9
GCF_000698475_1_ASM69847v1_genomic',cluster4
GCF_000705655_1_ASM70565v1_genomic',cluster2
GCF_000705705_1_Myco_tube_NRITLD28_V1_genomic',cluster5
GCF_000705725_1_Myco_tube_TKK_05SA_0024_V1_genomic',cluster5
GCF_000705745_1_Myco_tube_TKK_05MA_0055_V1_genomic',cluster1
GCF_000705765_1_Myco_tube_TKK_03_0102_V1_genomic',cluster5
GCF_000705785_1_Myco_tube_2542MS_V1_genomic',cluster5
GCF_000705805_1_Myco_tube_2092HD_V1_genomic',cluster5
GCF_000705825_1_Myco_tube_2995AB_V1_genomic',cluster5
GCF_000705845_1_Myco_tube_2097HD_V1_genomic',cluster5
GCF_000705865_1_Myco_tube_2231BH_V1_genomic',cluster5
GCF_000705885_1_Myco_tube_BTB13-001_V1_genomic',cluster5
GCF_000705905_1_Myco_tube_BTB10-305_V1_genomic',cluster5
GCF_000705925_1_Myco_tube_BTB08-395_V1_genomic',cluster5
GCF_000705945_1_Myco_tube_BTB07-327_V1_genomic',cluster5
GCF_000705965_1_Myco_tube_BTB07-314_V1_genomic',cluster4
GCF_000705985_1_Myco_tube_BTB07-234_V1_genomic',cluster4
GCF_000706005_1_Myco_tube_BTB04-120_V1_genomic',cluster5
GCF_000706025_1_Myco_tube_M2898_V1_genomic',cluster5
GCF_000706045_1_Myco_tube_H1964_V1_genomic',cluster5
GCF_000706065_1_Myco_tube_H2375_V1_genomic',cluster9
GCF_000706085_1_Myco_tube_M2193_V1_genomic',cluster5
GCF_000706105_1_Myco_tube_M2084_V1_genomic',cluster4
GCF_000706125_1_Myco_tube_M1759_V1_genomic',cluster5
GCF_000706145_1_Myco_tube_M1307_V1_genomic',cluster9
GCF_000706165_1_Myco_tube_TB_RSA52_V1_genomic',cluster4
GCF_000706185_1_Myco_tube_MAL020205_V1_genomic',cluster5
GCF_000706205_1_Myco_tube_MAL020102_V1_genomic',cluster5
GCF_000706225_1_Myco_tube_MAL010124_V1_genomic',cluster5
GCF_000706245_1_Myco_tube_MAL010117_V1_genomic',cluster5
GCF_000706265_1_Myco_tube_MD14825_V1_genomic',cluster5
GCF_000706285_1_Myco_tube_MD14839_V1_genomic',cluster5
GCF_000706305_1_Myco_tube_MD13744_V1_genomic',cluster5
GCF_000706325_1_Myco_tube_MD15774_V1_genomic',cluster5
GCF_000706345_1_Myco_tube_MD15751_V1_genomic',cluster5
GCF_000706365_1_Myco_tube_MD15958_V1_genomic',cluster5
GCF_000706385_1_Myco_tube_MD17901_V1_genomic',cluster4
GCF_000706405_1_Myco_tube_MD17646_V1_genomic',cluster5
GCF_000706425_1_Myco_tube_MD17890_V1_genomic',cluster4
GCF_000706445_1_Myco_tube_XTB13-201_V1_genomic',cluster1
GCF_000706465_1_Myco_tube_UT0118_V1_genomic',cluster5
GCF_000706485_1_Myco_tube_KT-0107_V1_genomic',cluster4
GCF_000706505_1_Myco_tube_KT-0079_V1_genomic',cluster5
GCF_000706525_1_Myco_tube_KT-0023_V1_genomic',cluster4
GCF_000706545_1_Myco_tube_TKK-01-0020_V3_genomic',cluster5
GCF_000706565_1_Myco_tube_TKK_04_0124_V1_genomic',cluster1
GCF_000706665_1_ASM70666v1_genomic',cluster4
GCF_000706785_1_Myco_tube_KT-0045_V1_genomic',cluster5
GCF_000709575_1_Mtb194v1_genomic',cluster3
GCF_000709615_1_Mtb293v1_genomic',cluster3
GCF_000709635_1_Mtb526v1_genomic',cluster3
GCF_000709655_1_Mtb562v1_genomic',cluster3
GCF_000709675_1_Mtb940v1_genomic',cluster3
GCF_000709695_1_Mtb984v1_genomic',cluster3
GCF_000711635_1_Myco_tube_2104HD_V1_genomic',cluster5
GCF_000711645_1_Myco_tube_NRITLD18_V1_genomic',cluster4
GCF_000711655_1_Myco_tube_MD18115_V1_genomic',cluster4
GCF_000715195_1_ASM71519v2_genomic',cluster9
GCF_000715415_1_ASM71541v1_genomic',cluster3
GCF_000729745_1_ASM72974v1_genomic',cluster2
GCF_000729755_1_ASM72975v1_genomic',cluster2
GCF_000729765_1_ASM72976v1_genomic',cluster2
GCF_000735595_1_ASM73559v1_genomic',cluster5
GCF_000735815_1_ASM73581v1_genomic',cluster3
GCF_000735835_1_ASM73583v1_genomic',cluster3
GCF_000735975_1_ASM73597v1_genomic',cluster3
GCF_000736015_1_ASM73601v1_genomic',cluster4
GCF_000736235_1_ASM73623v1_genomic',cluster3
GCF_000736255_1_ASM73625v1_genomic',cluster3
GCF_000737385_1_ASM73738v1_genomic',cluster5
GCF_000738445_1_ASM73844v1_genomic',cluster4
GCF_000738475_1_ASM73847v1_genomic',cluster4
GCF_000743595_1_ASM74359v1_genomic',cluster9
GCF_000746805_1_H37RvAE4_genomic',cluster5
GCF_000749605_1_ASM74960v1_genomic',cluster2
GCF_000749615_1_ASM74961v1_genomic',cluster2
GCF_000749625_1_ASM74962v1_genomic',cluster2
GCF_000749665_1_ASM74966v1_genomic',cluster2
GCF_000749675_1_ASM74967v1_genomic',cluster2
GCF_000749685_1_ASM74968v1_genomic',cluster2
GCF_000749725_1_ASM74972v1_genomic',cluster2
GCF_000749745_1_ASM74974v1_genomic',cluster2
GCF_000749765_1_ASM74976v1_genomic',cluster2
GCF_000749785_1_ASM74978v1_genomic',cluster2
GCF_000749805_1_ASM74980v1_genomic',cluster2
GCF_000749825_1_ASM74982v1_genomic',cluster2
GCF_000751475_1_H37RvLPb_genomic',cluster5
GCF_000751615_1_H37RvMA2_genomic',cluster5
GCF_000756525_1_ASM75652v1_genomic',cluster4
GCF_000756545_1_ASM75654v1_genomic',cluster9
GCF_000786505_1_MT49-02_genomic',cluster4
GCF_000803725_1_ASM80372v1_genomic',cluster4
GCF_000803735_1_ASM80373v1_genomic',cluster3
