Protein,Cluster
Putative threonylcarbamoyl-AMP synthase,cluster3
Decaprenyl-phosphate N-acetylglucosaminephosphotransferase,cluster3
ATP synthase subunit a,cluster3
ATP synthase subunit c,cluster3
ATP synthase subunit b,cluster3
ATP synthase subunit b-delta,cluster3
ATP synthase subunit alpha,cluster3
ATP synthase gamma chain,cluster3
ATP synthase subunit beta,cluster3
ATP synthase epsilon chain,cluster3
Corrinoid adenosyltransferase,cluster0
UDP-N-acetylglucosamine 1-carboxyvinyltransferase,cluster3
16S ribosomal RNA,cluster3
23S ribosomal RNA,cluster3
5S ribosomal RNA (partial),cluster3
Methylated-DNA--protein-cysteine methyltransferase,cluster3
putative bifunctional transcriptional activator/DNA repair enzyme AlkA,cluster3
Endonuclease NucS,cluster3
Ethylmalonyl-CoA/methylmalonyl-CoA epimerase,cluster3
putative acetyl-CoA acetyltransferase,cluster3
Glycogen phosphorylase,cluster3
putative ATP-dependent helicase DinG,cluster3
Nicotinate phosphoribosyltransferase pncB1,cluster3
ATP-dependent Clp protease adapter protein ClpS,cluster3
putative aminopeptidase,cluster3
CysO-cysteine peptidase,cluster3
Sulfur carrier protein CysO,cluster3
O-phosphoserine sulfhydrylase,cluster3
Glutamate racemase,cluster3
Ribonuclease PH,cluster3
dITP/XTP pyrophosphatase,cluster3
Acyl carrier protein MbtL,cluster3
Long-chain-fatty-acid--[acyl-carrier-protein] ligase MbtM,cluster3
Acyl-[acyl-carrier-protein] dehydrogenase MbtN,cluster3
Lysine N-acyltransferase MbtK,cluster3
Iron import ATP-binding/permease protein IrtA,cluster3
Iron import ATP-binding/permease protein IrtB,cluster3
HTH-type transcriptional repressor,cluster4
putative signaling protein,cluster3
Anti-sigma-F factor antagonist RsfA,cluster0
Putative diacylated glycolipid transporter LprF,cluster3
Alpha-pyrone synthesis polyketide synthase-like Pks18,cluster3
Glycolipid sulfotransferase,cluster3
Bifunctional protein PyrR,cluster3
Aspartate carbamoyltransferase,cluster3
Carbamoyl-phosphate synthase small chain,cluster3
Carbamoyl-phosphate synthase large chain,cluster0
Orotidine 5-phosphate decarboxylase,cluster3
PE family immunomodulator PE15,cluster3
Guanylate kinase,cluster3
DNA-directed RNA polymerase subunit omega,cluster3
Coenzyme A biosynthesis bifunctional protein CoaBC,cluster3
S-adenosylmethionine synthase,cluster3
Baeyer-Villiger monooxygenase,cluster0
Putative cytochrome P450 132,cluster3
Ribonuclease VapC10,cluster3
Putative antitoxin VapB10,cluster3
Carboxylesterase NlhH,cluster4
putative primosomal protein N,cluster3
Methionyl-tRNA formyltransferase,cluster3
Putative methyltransferase,cluster3
Ribulose-phosphate 3-epimerase,cluster3
Riboflavin biosynthesis protein RibD,cluster3
putative triacylglyceride transporter,cluster3
Lipoarabinomannan carrier protein LprG,cluster3
Riboflavin synthase,cluster3
Riboflavin biosynthesis protein RibBA,cluster0
Putative lipoprotein LprH,cluster3
UvrABC system protein C,cluster3
Nucleotide-binding protein,cluster3
Putative gluconeogenesis factor,cluster3
putative cell division protein WhiA,cluster3
Esterase PE16,cluster3
Thiamine thiazole synthase,cluster3
Glyceraldehyde-3-phosphate dehydrogenase,cluster3
Phosphoglycerate kinase,cluster3
Triosephosphate isomerase,cluster3
Dimethyl sulfoxide/trimethylamine N-oxide reductase,cluster3
Glucose-6-phosphate 1-dehydrogenase 2,cluster3
Protoheme IX farnesyltransferase,cluster3
Quinone oxidoreductase 1,cluster0
Cycloserine biosynthesis protein DcsG,cluster3
Heme A synthase,cluster3
Daunorubicin/doxorubicin resistance ATP-binding protein DrrA,cluster3
Vegetative protein 296,cluster3
putative cysteine desulfurase,cluster3
Iron-sulfur cluster assembly scaffold protein IscU,cluster3
3-methylmercaptopropionyl-CoA dehydrogenase,cluster3
putative cobalt/nickel-exporting P-type ATPase,cluster3
Putative thioredoxin 2,cluster0
putative enoyl-CoA hydratase echA12,cluster0
putative ABC transporter ATP-binding protein YbiT,cluster3
Aconitate hydratase A,cluster3
Peptidoglycan endopeptidase RipA,cluster3
Peptidoglycan endopeptidase RipB,cluster3
3-oxoacyl-[acyl-carrier-protein] reductase FabG1,cluster3
Enoyl-[acyl-carrier-protein] reductase [NADH],cluster3
putative methylmalonyl-CoA mutase large subunit,cluster0
putative methylmalonyl-CoA mutase small subunit,cluster3
putative antitoxin MazE4,cluster3
Endoribonuclease MazF4,cluster3
putative GTPase,cluster3
Putative glycosyltransferases,cluster3
UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,cluster3
GDP-L-fucose synthase,cluster0
Sulfolipid-1 exporter Sap,cluster0
Putative fatty-acid--CoA ligase fadD25,cluster0
Sulfolipid-1 exporter MmpL8,cluster0
Phthiotriol/phenolphthiotriol dimycocerosates methyltransferase,cluster0
Mycocerosic acid synthase-like polyketide synthase,cluster3
putative alcohol dehydrogenase adh,cluster3
Putative monooxygenase,cluster4
Isoleucine--tRNA ligase,cluster3
DNA polymerase IV 1,cluster0
putative L-asparaginase,cluster3
Lipoprotein signal peptidase,cluster3
putative RNA pseudouridine synthase,cluster0
Lipoprotein LprI,cluster3
Group 1 truncated hemoglobin GlbN,cluster3
DNA polymerase III subunit alpha,cluster3
Long-chain-fatty-acid--CoA ligase FadD15,cluster0
Putative acyltransferase plsB1,cluster3
Fumarate reductase flavoprotein subunit,cluster0
Fumarate reductase subunit C,cluster3
Fumarate reductase subunit D,cluster3
L-threonine dehydratase biosynthetic IlvA,cluster3
Antitoxin VapB11,cluster3
Ribonuclease VapC11,cluster3
Malto-oligosyltrehalose trehalohydrolase,cluster3
Putative maltooligosyl trehalose synthase,cluster3
Glycogen operon protein GlgX,cluster3
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,cluster3
8-amino-7-oxononanoate synthase 1,cluster3
ATP-dependent dethiobiotin synthetase BioD,cluster3
Biotin synthase,cluster3
putative inactive lipase,cluster3
Quinolinate synthase A,cluster3
L-aspartate oxidase,cluster3
Nicotinate-nucleotide pyrophosphorylase [carboxylating],cluster3
Histidinol dehydrogenase,cluster3
Histidinol-phosphate aminotransferase,cluster3
Imidazoleglycerol-phosphate dehydratase,cluster3
Imidazole glycerol phosphate synthase subunit HisH,cluster3
Phosphoribosyl isomerase A,cluster3
putative inositol 1-monophosphatase ImpA,cluster3
Imidazole glycerol phosphate synthase subunit HisF,cluster3
Phosphoribosyl-AMP cyclohydrolase,cluster3
Sodium-potassium/proton antiporter ChaA,cluster3
Putative peroxiredoxin,cluster0
Anthranilate synthase component 1,cluster3
Indole-3-glycerol phosphate synthase,cluster3
Tryptophan synthase beta chain,cluster3
Tryptophan synthase alpha chain,cluster3
Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,cluster3
Pyruvate kinase,cluster3
Acyl-CoA thioesterase 2,cluster0
Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX,cluster0
putative ABC transporter ATP-binding/permease protein,cluster3
ATP-binding/permease protein CydD,cluster3
Cytochrome bd-I ubiquinol oxidase subunit 2,cluster3
Cytochrome bd-II ubiquinol oxidase subunit 1,cluster3
Adenylate cyclase,cluster3
putative transcriptional regulatory protein pdtaR,cluster3
DNA polymerase I,cluster3
30S ribosomal protein S1,cluster3
Dephospho-CoA kinase,cluster3
UvrABC system protein B,cluster3
putative multidrug-efflux transporter,cluster3
Universal stress protein,cluster7
UvrABC system protein A,cluster3
Translation initiation factor IF-3,cluster3
50S ribosomal protein L35,cluster3
50S ribosomal protein L20,cluster3
23S rRNA (uridine(2479)-2-O)-methyltransferase,cluster3
Phenylalanine--tRNA ligase alpha subunit,cluster3
Phenylalanine--tRNA ligase beta subunit,cluster3
N-acetyl-gamma-glutamyl-phosphate reductase,cluster3
Arginine biosynthesis bifunctional protein ArgJ,cluster3
Acetylglutamate kinase,cluster3
Acetylornithine aminotransferase,cluster3
Ornithine carbamoyltransferase,cluster3
Arginine repressor,cluster3
Argininosuccinate synthase,cluster3
Argininosuccinate lyase,cluster3
Polyketide synthase-like Pks10,cluster3
Phenolphthiocerol synthesis polyketide synthase type I Pks15/1,cluster4
Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks1,cluster0
Alpha-pyrone synthesis polyketide synthase-like Pks11,cluster3
Putative cytochrome P450 139,cluster3
Energy-dependent translational throttle protein EttA,cluster0
Putative tartrate transporter,cluster3
HTH-type transcriptional regulator Cmr,cluster3
putative multidrug ABC transporter ATP-binding protein YbhF,cluster3
Putative 3-methyladenine DNA glycosylase,cluster3
Tyrosine--tRNA ligase,cluster3
Putative lipoprotein LprJ,cluster0
16S/23S rRNA (cytidine-2-O)-methyltransferase TlyA,cluster3
NAD kinase,cluster3
DNA repair protein RecN,cluster3
Copper transporter MctB,cluster3
CTP synthase,cluster3
Methanol dehydrogenase activator,cluster3
Tyrosine recombinase XerD,cluster3
tRNA 5-hydroxyuridine methyltransferase,cluster3
D-serine/D-alanine/glycine transporter,cluster3
PPE family protein PPE26,cluster0
Bicarbonate transporter BicA,cluster3
Segregation and condensation protein A,cluster3
Segregation and condensation protein B,cluster3
Cytidylate kinase,cluster3
GTPase Der,cluster3
Dihydroanticapsin 7-dehydrogenase,cluster0
putative 3-hydroxybutyryl-CoA dehydrogenase,cluster3
Kynurenine formamidase,cluster3
3-keto-5-aminohexanoate cleavage enzyme,cluster3
HTH-type transcriptional regulator TtgV,cluster0
Putative antitoxin VapB12,cluster3
6-aminohexanoate-dimer hydrolase,cluster3
6-hydroxy-D-nicotine oxidase,cluster3
Putative D-alanyl-D-alanine carboxypeptidase,cluster0
Putative succinate-semialdehyde dehydrogenase [NADP(+)] 2,cluster3
putative nitrate/nitrite transporter NarK2,cluster3
putative sulfate transporter,cluster3
Serine/threonine-protein kinase PknE,cluster3
Isopentenyl-diphosphate Delta-isomerase,cluster3
Serine/threonine-protein kinase PknF,cluster3
ABC transporter ATP-binding/permease protein,cluster0
Long-chain-fatty-acid--CoA ligase FadD17,cluster0
6-methylpretetramide 4-monooxygenase,cluster3
Phospholipase C 1,cluster3
GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol dimannoside mannosyltransferase,cluster1
Protein-methionine-sulfoxide reductase catalytic subunit MsrP,cluster1
putative cutinase,cluster0
Phloretin hydrolase,cluster3
Cytochrome P450 144,cluster3
ESX-5 secretion system ATPase EccB5,cluster3
ESX-5 secretion system protein EccC5,cluster0
Putative cytochrome P450 143,cluster3
putative PPE family protein PPE51,cluster4
ESAT-6-like protein EsxW,cluster3
ESAT-6-like protein EsxN,cluster3
ESX-5 secretion-associated protein EspG5,cluster3
ESX-5 secretion system protein EccD5,cluster3
ESX-5 secretion system protein EccE5,cluster3
ESX-5 secretion system protein EccA5,cluster3
putative PPE family protein PPE42,cluster0
putative PPE family protein PPE33,cluster0
PE-PGRS family protein PE25,cluster0
Protein MgtC,cluster3
NADH dehydrogenase-like protein,cluster0
PE-PGRS family protein PE_PGRS33,cluster3
Vitamin B12 transport ATP-binding protein BacA,cluster3
Acetolactate synthase large subunit IlvG,cluster3
Protein translocase subunit SecA 2,cluster3
Putative cardiolipin synthase,cluster3
Glycine cleavage system H protein,cluster3
putative glycine dehydrogenase (decarboxylating),cluster3
Putative serine esterase,cluster3
Malate synthase G,cluster3
Ribonuclease VapC13,cluster0
Transcriptional regulator BlaI,cluster3
Putative esterase,cluster3
Urease subunit gamma,cluster3
Urease subunit beta,cluster3
Urease subunit alpha,cluster3
Urease accessory protein UreF,cluster3
Urease accessory protein UreG,cluster3
Urease accessory protein UreD,cluster3
F420-dependent glucose-6-phosphate dehydrogenase 1,cluster3
Putative oxidoreductase,cluster3
Molybdate-binding protein ModA,cluster3
Sulfate transport system permease protein CysW,cluster0
Molybdenum import ATP-binding protein ModC,cluster3
Alanine and proline-rich secreted protein Apa,cluster3
putative alcohol dehydrogenase AdhA,cluster3
putative oxidoreductase EphD,cluster0
putative CoA-transferase,cluster3
Rhodocoxin reductase,cluster3
Putative L-lactate dehydrogenase,cluster3
Putative cytochrome P450 140,cluster3
putative lipoprotein LppE,cluster3
Resuscitation-promoting factor RpfC,cluster3
Secreted chorismate mutase,cluster3
Diacylglycerol acyltransferase/mycolyltransferase Ag85B,cluster3
putative zinc-binding alcohol dehydrogenase,cluster3
D-aminoacyl-tRNA deacylase,cluster3
CinA-like protein,cluster3
Sialic acid transporter NanT,cluster3
putative D-amino-acid oxidase,cluster3
Transcriptional regulator FurA,cluster3
Putative lipoprotein LppC,cluster3
Isocitrate lyase 2,cluster3
PPE family protein PPE34,cluster4
Long-chain-fatty-acid--AMP ligase FadD32,cluster0
Immunogenic protein MPT63,cluster3
Galactitol 2-dehydrogenase,cluster6
HTH-type transcriptional regulator,cluster0
Thiol peroxidase,cluster3
Acryloyl-CoA reductase (NADH),cluster3
Putative acyl-CoA dehydrogenase FadE17,cluster4
Epoxide hydrolase B,cluster3
putative endoribonuclease MazF5,cluster3
Antitoxin MazE5,cluster3
putative endoribonuclease HigB1,cluster3
Antitoxin HigA1,cluster3
SecB-like chaperone,cluster3
Toxin ParE1,cluster3
Antitoxin ParD1,cluster3
Ribonuclease VapC35,cluster3
Antitoxin VapB35,cluster3
Transcriptional repressor Mce3R,cluster3
Intermembrane phospholipid transport system permease protein MlaE,cluster3
putative transporter,cluster4
Immunogenic protein MPT64,cluster0
Ribonucleoside-diphosphate reductase subunit beta nrdF1,cluster3
Ribonuclease VapC36,cluster3
Putative antitoxin VapB36,cluster3
rRNA adenine N-6-methyltransferase,cluster3
Endoribonuclease MazF6,cluster3
Antitoxin MazE6,cluster3
putative cation-transporting ATPase G,cluster3
HTH-type transcriptional regulator CmtR,cluster3
putative cation-transporting ATPase F,cluster3
3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase,cluster3
putative glycosyl hydrolase,cluster0
Antitoxin VapB15,cluster3
Ribonuclease VapC15,cluster3
Putative antitoxin VapB45,cluster3
Putative ribonuclease VapC45,cluster3
Putative antitoxin HigA2,cluster0
Putative toxin HigB2,cluster0
putative cation efflux system protein,cluster3
Oxygen sensor histidine kinase response regulator DosT,cluster3
Putative ATP-dependent 6-phosphofructokinase isozyme 2,cluster3
Putative NAD(P)H nitroreductase acg,cluster3
Diacetylchitobiose uptake system ATP-binding protein MsiK,cluster0
L-arabinose transport system permease protein AraQ,cluster0
Lactose transport system permease protein LacF,cluster3
RNA polymerase-binding protein RbpA,cluster3
Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase,cluster3
30S ribosomal protein S14,cluster3
Aerobic cobaltochelatase subunit CobN,cluster3
Antitoxin MazE7,cluster3
Precorrin-8X methylmutase,cluster3
Cobalamin biosynthesis protein CobIJ,cluster3
ECF RNA polymerase sigma factor SigC,cluster3
Precorrin-6A reductase,cluster3
Precorrin-4 C(11)-methyltransferase,cluster3
F420H(2)-dependent biliverdin reductase,cluster3
Putative lipoprotein LppJ,cluster3
Serine/threonine-protein kinase PknJ,cluster3
putative dipeptidase PepE,cluster3
5-3 exonuclease,cluster3
putative helicase HelY,cluster3
Sec-independent protein translocase protein TatC,cluster3
Sec-independent protein translocase protein TatA,cluster3
Protein PafC,cluster3
Protein PafB,cluster3
Pup--protein ligase,cluster3
Ribonuclease VapC37,cluster3
putative PPE family protein PPE36,cluster3
Proteasome subunit alpha,cluster3
Proteasome subunit beta,cluster3
Prokaryotic ubiquitin-like protein Pup,cluster3
Pup deamidase/depupylase,cluster3
Proteasome-associated ATPase,cluster3
Putative lipoprotein LppK,cluster3
tRNA (adenine(58)-N(1))-methyltransferase TrmI,cluster3
ATP phosphoribosyltransferase,cluster3
Phosphoribosyl-ATP pyrophosphatase,cluster3
Methionine synthase,cluster3
L-asparagine permease 1,cluster3
L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase,cluster3
3-phosphoadenosine 5-phosphate phosphatase,cluster3
Phosphoserine phosphatase 1,cluster0
Dihydroorotate dehydrogenase (quinone),cluster3
Succinyl-diaminopimelate desuccinylase,cluster0
Toxin ParE2,cluster3
Antitoxin ParD2,cluster3
Cell wall synthesis protein Wag31,cluster3
Cell division protein SepF,cluster3
Pyridoxal phosphate homeostasis protein,cluster3
Polyphenol oxidase,cluster3
Cell division protein FtsZ,cluster3
Cell division protein FtsQ,cluster3
UDP-N-acetylmuramate--L-alanine ligase,cluster3
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,cluster3
putative peptidoglycan glycosyltransferase FtsW,cluster3
UDP-N-acetylmuramoylalanine--D-glutamate ligase,cluster3
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,cluster3
Penicillin-binding protein PbpB,cluster3
Ribosomal RNA small subunit methyltransferase H,cluster3
Transcriptional regulator MraZ,cluster3
Protein LppM,cluster3
All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific),cluster3
Alpha-(1->6)-mannopyranosyltransferase A,cluster3
DNA-binding protein,cluster3
Serine/threonine-protein kinase PknL,cluster3
IS110 family transposase ISArsp3,cluster0
Phospho-2-dehydro-3-deoxyheptonate aldolase AroG,cluster3
3-5 exoribonuclease,cluster3
Polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol mannoside mannosyltransferase,cluster3
GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase,cluster3
Putative bifunctional exonuclease/endonuclease protein,cluster0
Anthranilate phosphoribosyltransferase,cluster3
putative cytochrome c oxidase subunit 3,cluster3
Cytochrome bc1 complex cytochrome c subunit,cluster3
Cytochrome bc1 complex Rieske iron-sulfur subunit,cluster3
Cytochrome bc1 complex cytochrome b subunit,cluster3
putative transport accessory protein MmpS3,cluster0
Cytochrome c oxidase polypeptide 4,cluster3
Cytochrome c oxidase subunit 2,cluster3
Putative asparagine synthetase [glutamine-hydrolyzing],cluster3
Adenosine kinase,cluster3
Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,cluster3
Adenosylcobinamide-GDP ribazoletransferase,cluster3
Branched-chain-amino-acid aminotransferase,cluster3
putative cytosol aminopeptidase,cluster3
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,cluster3
Epimerase family protein,cluster3
Lipoyl synthase,cluster3
Glutamine synthetase,cluster0
Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme,cluster3
Carboxylesterase B,cluster0
Carboxylesterase A,cluster3
3-methyl-2-oxobutanoate hydroxymethyltransferase,cluster3
Bifunctional protein,cluster3
putative aminotransferase,cluster0
putative low molecular weight protein-tyrosine-phosphatase,cluster3
putative SURF1-like protein,cluster3
Cobalamin biosynthesis protein CobD,cluster3
Alkyl hydroperoxide reductase E,cluster3
Pyruvate dehydrogenase E1 component,cluster3
Malonyl CoA-acyl carrier protein transacylase,cluster3
Meromycolate extension acyl carrier protein,cluster3
3-oxoacyl-[acyl-carrier-protein] synthase 1,cluster3
3-oxoacyl-[acyl-carrier-protein] synthase 2,cluster3
putative propionyl-CoA carboxylase beta chain 6,cluster3
Glycerol-3-phosphate dehydrogenase 1,cluster3
Diacylglycerol kinase,cluster3
S-(hydroxymethyl)mycothiol dehydrogenase,cluster3
Apolipoprotein N-acyltransferase,cluster3
Methyl-branched lipid omega-hydroxylase,cluster3
Cyclo(L-tyrosyl-L-tyrosyl) synthase,cluster3
Mycocyclosin synthase,cluster3
putative Na(+)/H(+) exchanger,cluster3
putative CDP-diacylglycerol pyrophosphatase,cluster3
Putative lipoprotein LppO,cluster3
Putative thiosulfate sulfurtransferase SseB,cluster3
Putative cystathionine beta-lyase,cluster3
Haloalkane dehalogenase 1,cluster3
Chaperone protein HtpG,cluster3
putative metallo-hydrolase,cluster3
putative cutinase cut2,cluster3
Tyrosine recombinase XerC,cluster4
sn-glycerol-3-phosphate transport system permease protein UgpA,cluster0
putative amino acid permease YhdG,cluster0
Ornithine aminotransferase,cluster3
Ornithine aminotransferase 2,cluster3
Regulatory protein AsnC,cluster3
putative PE family protein PE23,cluster3
Putative lipoprotein LppP,cluster3
Putative malate oxidoreductase [NAD],cluster3
Multidrug resistance protein Stp,cluster3
O-acetylserine sulfhydrylase,cluster3
Serine acetyltransferase,cluster3
putative transport protein MmpL9,cluster3
DNA primase,cluster3
Deoxyguanosinetriphosphate triphosphohydrolase-like protein,cluster3
ESAT-6-like protein EsxO,cluster3
Phospholipase C 3,cluster3
Phospholipase C 2,cluster3
putative PPE family protein PPE38,cluster0
Glycine--tRNA ligase,cluster3
HTH-type transcriptional repressor SmtB,cluster3
Zinc uptake regulation protein,cluster3
Decaprenyl diphosphate synthase,cluster3
DNA repair protein RecO,cluster3
Putative amidase AmiA2,cluster3
GTPase Era,cluster3
Endoribonuclease YbeY,cluster3
PhoH-like protein,cluster3
Ribosomal RNA small subunit methyltransferase E,cluster3
Chaperone protein DnaJ 2,cluster3
Heat-inducible transcription repressor HrcA,cluster3
Low molecular weight antigen MTB12,cluster3
Protein MbtH,cluster3
L-lysine N6-monooxygenase MbtG,cluster3
Linear gramicidin synthase subunit D,cluster3
Dimodular nonribosomal peptide synthase,cluster3
Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks15,cluster0
Phenyloxazoline synthase MbtB,cluster3
Salicyl-AMP ligase / salicyl-S-ArCP synthetase,cluster3
Salicylate synthase,cluster3
putative proteinA/RVBD_2386A,cluster3
Heme chaperone HemW,cluster3
Resuscitation-promoting factor RpfD,cluster3
Sulfite reductase [ferredoxin],cluster3
putative phosphoadenosine phosphosulfate reductase,cluster3
Sirohydrochlorin cobaltochelatase,cluster3
Glutathione hydrolase proenzyme,cluster3
Sulfate/thiosulfate import ATP-binding protein CysA,cluster3
Sulfate-binding protein,cluster3
Elongation factor 4,cluster3
Ribonuclease BN,cluster0
30S ribosomal protein S20,cluster3
N-acetyltransferase Eis,cluster3
DegV domain-containing protein,cluster3
Diglucosylglycerate octanoyltransferase,cluster3
Glucosyl-3-phosphoglycerate phosphatase,cluster3
Ribosomal silencing factor RsfS,cluster3
putative nicotinate-nucleotide adenylyltransferase,cluster3
Gamma-glutamyl phosphate reductase,cluster3
Alkyl hydroperoxide reductase C,cluster3
Alkyl hydroperoxide reductase AhpD,cluster3
PPE family protein PPE41,cluster3
Bifunctional ribokinase/ribose-5-phosphate isomerase A,cluster3
Glutamine-dependent NAD(+) synthetase,cluster3
Glutamate 5-kinase,cluster3
GTPase Obg,cluster3
50S ribosomal protein L27,cluster3
50S ribosomal protein L21,cluster3
Aerobic C4-dicarboxylate transport protein,cluster3
Ribonuclease E,cluster3
Nucleoside diphosphate kinase,cluster3
Dihydrofolate synthase/folylpolyglutamate synthase,cluster3
Valine--tRNA ligase,cluster3
Putative trans-acting enoyl reductase,cluster3
Resuscitation-promoting factor RpfE,cluster3
putative molybdenum cofactor guanylyltransferase,cluster3
2-oxoglutarate oxidoreductase subunit KorA,cluster3
ATP-dependent Clp protease ATP-binding subunit ClpX,cluster3
Homocysteine S-methyltransferase,cluster3
Drug efflux pump JefA,cluster3
ATP-dependent Clp protease proteolytic subunit 2,cluster3
ATP-dependent Clp protease proteolytic subunit 1,cluster3
Trigger factor,cluster3
Endonuclease 8 1,cluster0
Ribose-5-phosphate isomerase B,cluster3
Thioredoxin-like reductase,cluster3
Aminopeptidase N,cluster3
Group 2 truncated hemoglobin GlbO,cluster3
NAD-specific glutamate dehydrogenase,cluster3
Glycerol-3-phosphate acyltransferase,cluster3
putative enoyl-CoA hydratase echA14,cluster3
Ribonuclease VapC38,cluster3
Dihydrolipoyllysine-residue acyltransferase component of branched-chain alpha-ketoacid dehydrogenase complex,cluster3
3-methyl-2-oxobutanoate dehydrogenase subunit beta,cluster3
3-methyl-2-oxobutanoate dehydrogenase subunit alpha,cluster3
Citrate lyase subunit beta-like protein,cluster3
Methylmalonyl-CoA carboxyltransferase 12S subunit,cluster3
putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B,cluster3
putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A,cluster3
Holo-[acyl-carrier-protein] synthase,cluster3
Putative peptidoglycan hydrolase,cluster3
Putative antitoxin VapB17,cluster8
Ribonuclease VapC17,cluster3
Mrr restriction system protein,cluster3
Ribonuclease VapC39,cluster3
Transcription antitermination protein NusB,cluster3
Elongation factor P,cluster3
Aminopeptidase YpdF,cluster3
3-dehydroquinate dehydratase,cluster3
3-dehydroquinate synthase,cluster3
Shikimate kinase,cluster3
Chorismate synthase,cluster3
Putative lipoprotein LppA,cluster0
Putative antitoxin VapB19,cluster3
Ribonuclease VapC19,cluster3
23S rRNA-specific endonuclease VapC20,cluster3
Antitoxin VapB20,cluster3
Shikimate dehydrogenase (NADP(+)),cluster3
Endolytic murein transglycosylase,cluster3
Putative pre-16S rRNA nuclease,cluster3
Alanine--tRNA ligase,cluster3
putative AAA domain-containing protein,cluster3
Aspartate--tRNA(Asp/Asn) ligase,cluster3
2-dehydropantoate 2-reductase,cluster3
Haloalkane dehalogenase 3,cluster3
Histidine--tRNA ligase,cluster3
putative peptidyl-prolyl cis-trans isomerase B,cluster3
Bifunctional (p)ppGpp synthase/hydrolase RelA,cluster3
Adenine phosphoribosyltransferase,cluster3
putative lipoprotein,cluster3
Protein translocase subunit SecF,cluster3
Protein translocase subunit SecD,cluster3
Sec translocon accessory complex subunit YajC,cluster3
4-aminobutyrate aminotransferase,cluster3
Carboxylic acid reductase,cluster3
Holliday junction ATP-dependent DNA helicase RuvB,cluster3
Holliday junction ATP-dependent DNA helicase RuvA,cluster3
Crossover junction endodeoxyribonuclease RuvC,cluster3
Antitoxin VapB40,cluster3
Ribonuclease VapC40,cluster3
Polyamine aminopropyltransferase,cluster3
Antitoxin VapB41,cluster3
Ribonuclease VapC41,cluster3
putative transcriptional regulatory protein,cluster3
Pyridoxal 5-phosphate synthase subunit PdxT,cluster3
Pyridoxal 5-phosphate synthase subunit PdxS,cluster3
Pyridoxine 5-phosphate oxidase,cluster3
Phosphatidyl-myo-inositol mannosyltransferase,cluster3
Phosphatidylinositol mannoside acyltransferase,cluster3
Phosphatidylinositol phosphate synthase,cluster3
AP-4-A phosphorylase,cluster3
Threonine--tRNA ligase,cluster3
Putative zinc metalloprotease Rip3,cluster3
Hypoxic response protein 1,cluster3
Putative uncharacterized protein,cluster3
putative protein archease,cluster3
RNA-splicing ligase RtcB,cluster3
Putative O-phosphotransferase,cluster3
Cadmium-induced protein CadI,cluster3
Arsenic resistance transcriptional regulator ArsR1,cluster3
Arsenate reductase,cluster3
Putative prophage phiRv2 integrase,cluster3
putative N-acetyltransferase,cluster3
Cell division protein ZapE,cluster3
Peptide methionine sulfoxide reductase MsrB,cluster3
Protoporphyrinogen oxidase,cluster3
Uroporphyrinogen decarboxylase,cluster3
Ribonuclease D,cluster3
1-deoxy-D-xylulose-5-phosphate synthase,cluster0
Fluoroquinolones export permease protein,cluster0
Fluoroquinolones export ATP-binding protein,cluster3
23S rRNA (uracil-C(5))-methyltransferase RlmCD,cluster3
Potassium transporter KimA,cluster3
Trk system potassium uptake protein TrkA,cluster0
Deoxyuridine 5-triphosphate nucleotidohydrolase,cluster3
Inositol-1-monophosphatase SuhB,cluster3
Polyphosphate glucokinase,cluster3
RNA polymerase sigma factor SigA,cluster3
Putative aminoacrylate peracid reductase RutC,cluster3
RNA polymerase sigma factor SigB,cluster3
Iron-dependent repressor IdeR,cluster3
putative soluble pyridine nucleotide transhydrogenase,cluster3
Transcriptional repressor NrdR,cluster3
LexA repressor,cluster3
GTPase HflX,cluster3
Diaminopimelate epimerase,cluster3
tRNA dimethylallyltransferase,cluster3
tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,cluster3
Regulatory protein RecX,cluster3
Protein RecA,cluster3
4-demethylrebeccamycin synthase,cluster3
Epoxide hydrolase EphG,cluster3
